number_of_tmas,total_patients,patients_per_tma,core_disposition,layout,core_diameter_mm,orientation_empty_holes_per_tma,orientation_fiducial_cores_per_tma,orientation_markers_per_tma,positions_per_tma,patient_positions_per_tma,patient_positions_all_tmas,empty_positions_all_tmas,fiducial_positions_all_tmas,total_core_positions_all_tmas,mean_cores_per_patient,min_balanced_cores_per_patient,patients_with_extra_core_per_tma,core_area_mm2,patient_core_surface_area_mm2,fiducial_core_surface_area_mm2,total_core_surface_area_mm2,total_chamber_area_mm2,patient_core_surface_to_total_chamber_area,total_core_surface_to_total_chamber_area,reserved_orientation_position_percent,asymmetry_score,passes_orientation_principles,feasible_for_patients_per_tma,minimum_valid_orientation_marker_count,is_minimum_valid_orientation_combo,notes
2,80,40.0000,rectangular_grid,rectangular,0.6000,0,0,0,98,98,196,0,0,196,2.4500,2,18,0.282743,55.4177,0.0000,55.4177,469.2050,0.118110,0.118110,0.0000,0,0,1,4,0,no orientation markers; below minimum marker count 4; asymmetry score below threshold
2,80,40.0000,rectangular_grid,rectangular,0.6000,0,1,1,98,97,194,0,2,196,2.4250,2,17,0.282743,54.8522,0.5655,55.4177,469.2050,0.116905,0.118110,1.0204,2,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,0.6000,0,2,2,98,96,192,0,4,196,2.4000,2,16,0.282743,54.2867,1.1310,55.4177,469.2050,0.115699,0.118110,2.0408,4,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,0.6000,0,3,3,98,95,190,0,6,196,2.3750,2,15,0.282743,53.7212,1.6965,55.4177,469.2050,0.114494,0.118110,3.0612,6,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,0.6000,0,4,4,98,94,188,0,8,196,2.3500,2,14,0.282743,53.1557,2.2619,55.4177,469.2050,0.113289,0.118110,4.0816,8,1,1,4,1,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,1,0,1,98,97,194,2,0,194,2.4250,2,17,0.282743,54.8522,0.0000,54.8522,469.2050,0.116905,0.116905,1.0204,2,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,0.6000,1,1,2,98,96,192,2,2,194,2.4000,2,16,0.282743,54.2867,0.5655,54.8522,469.2050,0.115699,0.116905,2.0408,4,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,0.6000,1,2,3,98,95,190,2,4,194,2.3750,2,15,0.282743,53.7212,1.1310,54.8522,469.2050,0.114494,0.116905,3.0612,6,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,0.6000,1,3,4,98,94,188,2,6,194,2.3500,2,14,0.282743,53.1557,1.6965,54.8522,469.2050,0.113289,0.116905,4.0816,8,1,1,4,1,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,1,4,5,98,93,186,2,8,194,2.3250,2,13,0.282743,52.5903,2.2619,54.8522,469.2050,0.112084,0.116905,5.1020,10,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,2,0,2,98,96,192,4,0,192,2.4000,2,16,0.282743,54.2867,0.0000,54.2867,469.2050,0.115699,0.115699,2.0408,4,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,0.6000,2,1,3,98,95,190,4,2,192,2.3750,2,15,0.282743,53.7212,0.5655,54.2867,469.2050,0.114494,0.115699,3.0612,6,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,0.6000,2,2,4,98,94,188,4,4,192,2.3500,2,14,0.282743,53.1557,1.1310,54.2867,469.2050,0.113289,0.115699,4.0816,8,1,1,4,1,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,2,3,5,98,93,186,4,6,192,2.3250,2,13,0.282743,52.5903,1.6965,54.2867,469.2050,0.112084,0.115699,5.1020,10,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,2,4,6,98,92,184,4,8,192,2.3000,2,12,0.282743,52.0248,2.2619,54.2867,469.2050,0.110879,0.115699,6.1224,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,3,0,3,98,95,190,6,0,190,2.3750,2,15,0.282743,53.7212,0.0000,53.7212,469.2050,0.114494,0.114494,3.0612,6,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,0.6000,3,1,4,98,94,188,6,2,190,2.3500,2,14,0.282743,53.1557,0.5655,53.7212,469.2050,0.113289,0.114494,4.0816,8,1,1,4,1,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,3,2,5,98,93,186,6,4,190,2.3250,2,13,0.282743,52.5903,1.1310,53.7212,469.2050,0.112084,0.114494,5.1020,10,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,3,3,6,98,92,184,6,6,190,2.3000,2,12,0.282743,52.0248,1.6965,53.7212,469.2050,0.110879,0.114494,6.1224,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,3,4,7,98,91,182,6,8,190,2.2750,2,11,0.282743,51.4593,2.2619,53.7212,469.2050,0.109673,0.114494,7.1429,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,4,0,4,98,94,188,8,0,188,2.3500,2,14,0.282743,53.1557,0.0000,53.1557,469.2050,0.113289,0.113289,4.0816,8,1,1,4,1,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,4,1,5,98,93,186,8,2,188,2.3250,2,13,0.282743,52.5903,0.5655,53.1557,469.2050,0.112084,0.113289,5.1020,10,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,4,2,6,98,92,184,8,4,188,2.3000,2,12,0.282743,52.0248,1.1310,53.1557,469.2050,0.110879,0.113289,6.1224,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,4,3,7,98,91,182,8,6,188,2.2750,2,11,0.282743,51.4593,1.6965,53.1557,469.2050,0.109673,0.113289,7.1429,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,4,4,8,98,90,180,8,8,188,2.2500,2,10,0.282743,50.8938,2.2619,53.1557,469.2050,0.108468,0.113289,8.1633,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,5,0,5,98,93,186,10,0,186,2.3250,2,13,0.282743,52.5903,0.0000,52.5903,469.2050,0.112084,0.112084,5.1020,10,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,5,1,6,98,92,184,10,2,186,2.3000,2,12,0.282743,52.0248,0.5655,52.5903,469.2050,0.110879,0.112084,6.1224,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,5,2,7,98,91,182,10,4,186,2.2750,2,11,0.282743,51.4593,1.1310,52.5903,469.2050,0.109673,0.112084,7.1429,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,5,3,8,98,90,180,10,6,186,2.2500,2,10,0.282743,50.8938,1.6965,52.5903,469.2050,0.108468,0.112084,8.1633,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,5,4,9,98,89,178,10,8,186,2.2250,2,9,0.282743,50.3283,2.2619,52.5903,469.2050,0.107263,0.112084,9.1837,14,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,6,0,6,98,92,184,12,0,184,2.3000,2,12,0.282743,52.0248,0.0000,52.0248,469.2050,0.110879,0.110879,6.1224,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,6,1,7,98,91,182,12,2,184,2.2750,2,11,0.282743,51.4593,0.5655,52.0248,469.2050,0.109673,0.110879,7.1429,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,6,2,8,98,90,180,12,4,184,2.2500,2,10,0.282743,50.8938,1.1310,52.0248,469.2050,0.108468,0.110879,8.1633,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,6,3,9,98,89,178,12,6,184,2.2250,2,9,0.282743,50.3283,1.6965,52.0248,469.2050,0.107263,0.110879,9.1837,14,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,0.6000,6,4,10,98,88,176,12,8,184,2.2000,2,8,0.282743,49.7628,2.2619,52.0248,469.2050,0.106058,0.110879,10.2041,16,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,0,0,0,55,55,110,0,0,110,1.3750,1,15,0.785398,86.3938,0.0000,86.3938,469.2050,0.184128,0.184128,0.0000,0,0,1,4,0,no orientation markers; below minimum marker count 4; asymmetry score below threshold
2,80,40.0000,rectangular_grid,rectangular,1.0000,0,1,1,55,54,108,0,2,110,1.3500,1,14,0.785398,84.8230,1.5708,86.3938,469.2050,0.180780,0.184128,1.8182,2,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.0000,0,2,2,55,53,106,0,4,110,1.3250,1,13,0.785398,83.2522,3.1416,86.3938,469.2050,0.177432,0.184128,3.6364,4,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.0000,0,3,3,55,52,104,0,6,110,1.3000,1,12,0.785398,81.6814,4.7124,86.3938,469.2050,0.174085,0.184128,5.4545,6,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.0000,0,4,4,55,51,102,0,8,110,1.2750,1,11,0.785398,80.1106,6.2832,86.3938,469.2050,0.170737,0.184128,7.2727,8,1,1,4,1,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,1,0,1,55,54,108,2,0,108,1.3500,1,14,0.785398,84.8230,0.0000,84.8230,469.2050,0.180780,0.180780,1.8182,2,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.0000,1,1,2,55,53,106,2,2,108,1.3250,1,13,0.785398,83.2522,1.5708,84.8230,469.2050,0.177432,0.180780,3.6364,4,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.0000,1,2,3,55,52,104,2,4,108,1.3000,1,12,0.785398,81.6814,3.1416,84.8230,469.2050,0.174085,0.180780,5.4545,6,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.0000,1,3,4,55,51,102,2,6,108,1.2750,1,11,0.785398,80.1106,4.7124,84.8230,469.2050,0.170737,0.180780,7.2727,8,1,1,4,1,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,1,4,5,55,50,100,2,8,108,1.2500,1,10,0.785398,78.5398,6.2832,84.8230,469.2050,0.167389,0.180780,9.0909,8,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,2,0,2,55,53,106,4,0,106,1.3250,1,13,0.785398,83.2522,0.0000,83.2522,469.2050,0.177432,0.177432,3.6364,4,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.0000,2,1,3,55,52,104,4,2,106,1.3000,1,12,0.785398,81.6814,1.5708,83.2522,469.2050,0.174085,0.177432,5.4545,6,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.0000,2,2,4,55,51,102,4,4,106,1.2750,1,11,0.785398,80.1106,3.1416,83.2522,469.2050,0.170737,0.177432,7.2727,8,1,1,4,1,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,2,3,5,55,50,100,4,6,106,1.2500,1,10,0.785398,78.5398,4.7124,83.2522,469.2050,0.167389,0.177432,9.0909,8,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,2,4,6,55,49,98,4,8,106,1.2250,1,9,0.785398,76.9690,6.2832,83.2522,469.2050,0.164041,0.177432,10.9091,8,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,3,0,3,55,52,104,6,0,104,1.3000,1,12,0.785398,81.6814,0.0000,81.6814,469.2050,0.174085,0.174085,5.4545,6,0,1,4,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.0000,3,1,4,55,51,102,6,2,104,1.2750,1,11,0.785398,80.1106,1.5708,81.6814,469.2050,0.170737,0.174085,7.2727,8,1,1,4,1,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,3,2,5,55,50,100,6,4,104,1.2500,1,10,0.785398,78.5398,3.1416,81.6814,469.2050,0.167389,0.174085,9.0909,8,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,3,3,6,55,49,98,6,6,104,1.2250,1,9,0.785398,76.9690,4.7124,81.6814,469.2050,0.164041,0.174085,10.9091,8,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,3,4,7,55,48,96,6,8,104,1.2000,1,8,0.785398,75.3982,6.2832,81.6814,469.2050,0.160694,0.174085,12.7273,10,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,4,0,4,55,51,102,8,0,102,1.2750,1,11,0.785398,80.1106,0.0000,80.1106,469.2050,0.170737,0.170737,7.2727,8,1,1,4,1,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,4,1,5,55,50,100,8,2,102,1.2500,1,10,0.785398,78.5398,1.5708,80.1106,469.2050,0.167389,0.170737,9.0909,8,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,4,2,6,55,49,98,8,4,102,1.2250,1,9,0.785398,76.9690,3.1416,80.1106,469.2050,0.164041,0.170737,10.9091,8,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,4,3,7,55,48,96,8,6,102,1.2000,1,8,0.785398,75.3982,4.7124,80.1106,469.2050,0.160694,0.170737,12.7273,10,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,4,4,8,55,47,94,8,8,102,1.1750,1,7,0.785398,73.8274,6.2832,80.1106,469.2050,0.157346,0.170737,14.5455,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,5,0,5,55,50,100,10,0,100,1.2500,1,10,0.785398,78.5398,0.0000,78.5398,469.2050,0.167389,0.167389,9.0909,8,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,5,1,6,55,49,98,10,2,100,1.2250,1,9,0.785398,76.9690,1.5708,78.5398,469.2050,0.164041,0.167389,10.9091,8,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,5,2,7,55,48,96,10,4,100,1.2000,1,8,0.785398,75.3982,3.1416,78.5398,469.2050,0.160694,0.167389,12.7273,10,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,5,3,8,55,47,94,10,6,100,1.1750,1,7,0.785398,73.8274,4.7124,78.5398,469.2050,0.157346,0.167389,14.5455,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,5,4,9,55,46,92,10,8,100,1.1500,1,6,0.785398,72.2566,6.2832,78.5398,469.2050,0.153998,0.167389,16.3636,14,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,6,0,6,55,49,98,12,0,98,1.2250,1,9,0.785398,76.9690,0.0000,76.9690,469.2050,0.164041,0.164041,10.9091,8,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,6,1,7,55,48,96,12,2,98,1.2000,1,8,0.785398,75.3982,1.5708,76.9690,469.2050,0.160694,0.164041,12.7273,10,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,6,2,8,55,47,94,12,4,98,1.1750,1,7,0.785398,73.8274,3.1416,76.9690,469.2050,0.157346,0.164041,14.5455,12,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,6,3,9,55,46,92,12,6,98,1.1500,1,6,0.785398,72.2566,4.7124,76.9690,469.2050,0.153998,0.164041,16.3636,14,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.0000,6,4,10,55,45,90,12,8,98,1.1250,1,5,0.785398,70.6858,6.2832,76.9690,469.2050,0.150650,0.164041,18.1818,16,1,1,4,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.5000,0,0,0,36,36,72,0,0,72,0.9000,0,36,1.767146,127.2345,0.0000,127.2345,469.2050,0.271170,0.271170,0.0000,0,0,0,,0,no orientation markers; below minimum marker count 4; asymmetry score below threshold
2,80,40.0000,rectangular_grid,rectangular,1.5000,0,1,1,36,35,70,0,2,72,0.8750,0,35,1.767146,123.7002,3.5343,127.2345,469.2050,0.263638,0.271170,2.7778,2,0,0,,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.5000,0,2,2,36,34,68,0,4,72,0.8500,0,34,1.767146,120.1659,7.0686,127.2345,469.2050,0.256105,0.271170,5.5556,4,0,0,,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.5000,0,3,3,36,33,66,0,6,72,0.8250,0,33,1.767146,116.6316,10.6029,127.2345,469.2050,0.248573,0.271170,8.3333,6,0,0,,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.5000,0,4,4,36,32,64,0,8,72,0.8000,0,32,1.767146,113.0973,14.1372,127.2345,469.2050,0.241040,0.271170,11.1111,8,1,0,,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.5000,1,0,1,36,35,70,2,0,70,0.8750,0,35,1.767146,123.7002,0.0000,123.7002,469.2050,0.263638,0.263638,2.7778,2,0,0,,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.5000,1,1,2,36,34,68,2,2,70,0.8500,0,34,1.767146,120.1659,3.5343,123.7002,469.2050,0.256105,0.263638,5.5556,4,0,0,,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.5000,1,2,3,36,33,66,2,4,70,0.8250,0,33,1.767146,116.6316,7.0686,123.7002,469.2050,0.248573,0.263638,8.3333,6,0,0,,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.5000,1,3,4,36,32,64,2,6,70,0.8000,0,32,1.767146,113.0973,10.6029,123.7002,469.2050,0.241040,0.263638,11.1111,8,1,0,,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.5000,1,4,5,36,31,62,2,8,70,0.7750,0,31,1.767146,109.5630,14.1372,123.7002,469.2050,0.233508,0.263638,13.8889,6,1,0,,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.5000,2,0,2,36,34,68,4,0,68,0.8500,0,34,1.767146,120.1659,0.0000,120.1659,469.2050,0.256105,0.256105,5.5556,4,0,0,,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.5000,2,1,3,36,33,66,4,2,68,0.8250,0,33,1.767146,116.6316,3.5343,120.1659,469.2050,0.248573,0.256105,8.3333,6,0,0,,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.5000,2,2,4,36,32,64,4,4,68,0.8000,0,32,1.767146,113.0973,7.0686,120.1659,469.2050,0.241040,0.256105,11.1111,8,1,0,,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.5000,2,3,5,36,31,62,4,6,68,0.7750,0,31,1.767146,109.5630,10.6029,120.1659,469.2050,0.233508,0.256105,13.8889,6,1,0,,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.5000,2,4,6,36,30,60,4,8,68,0.7500,0,30,1.767146,106.0288,14.1372,120.1659,469.2050,0.225975,0.256105,16.6667,8,1,0,,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.5000,3,0,3,36,33,66,6,0,66,0.8250,0,33,1.767146,116.6316,0.0000,116.6316,469.2050,0.248573,0.248573,8.3333,6,0,0,,0,below minimum marker count 4
2,80,40.0000,rectangular_grid,rectangular,1.5000,3,1,4,36,32,64,6,2,66,0.8000,0,32,1.767146,113.0973,3.5343,116.6316,469.2050,0.241040,0.248573,11.1111,8,1,0,,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.5000,3,2,5,36,31,62,6,4,66,0.7750,0,31,1.767146,109.5630,7.0686,116.6316,469.2050,0.233508,0.248573,13.8889,6,1,0,,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.5000,3,3,6,36,30,60,6,6,66,0.7500,0,30,1.767146,106.0288,10.6029,116.6316,469.2050,0.225975,0.248573,16.6667,8,1,0,,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.5000,3,4,7,36,29,58,6,8,66,0.7250,0,29,1.767146,102.4945,14.1372,116.6316,469.2050,0.218443,0.248573,19.4444,10,1,0,,0,compact asymmetric fixed-corner marker pattern
2,80,40.0000,rectangular_grid,rectangular,1.5000,4,0,4,36,32,64,8,0,64,0.8000,0,32,1.767146,113.0973,0.0000,113.0973,469.2050,0.241040,0.241040,11.1111,8,1,0,,0,compact asymmetric fixed-corner marker pattern
